Event Name,Order,season,elite,lcq_ind,division_names
2023 Rimini,1,2023-2024,No,No,HYROX PRO
2023 New York,2,2023-2024,No,No,HYROX PRO
2023 Sydney,3,2023-2024,No,No,HYROX PRO
2023 Melbourne,4,2023-2024,No,No,HYROX PRO
2023 Dubai,5,2023-2024,No,No,HYROX PRO
2023 Warschau,6,2023-2024,No,No,HYROX PRO
2023 Madrid,7,2023-2024,No,No,HYROX PRO
2023 Malmö,8,2023-2024,No,No,HYROX PRO
2023 Milan,9,2023-2024,No,No,HYROX PRO
2023 Singapore,10,2023-2024,No,No,HYROX PRO
2023 München,11,2023-2024,No,No,HYROX PRO
2023 Birmingham,12,2023-2024,No,No,HYROX PRO
2023 Valencia,13,2023-2024,No,No,HYROX PRO
2023 Dublin,14,2023-2024,No,No,HYROX PRO
2023 Amsterdam,15,2023-2024,No,No,HYROX PRO
2023 Paris,16,2023-2024,No,No,HYROX PRO
2023 Chicago,17,2023-2024,Yes,No,"HYROX ELITE, HYROX PRO"
2023 Hamburg,18,2023-2024,No,No,HYROX PRO
2023 Barcelona,19,2023-2024,No,No,HYROX PRO
2023 Dallas,20,2023-2024,No,No,HYROX PRO
2023 Hong Kong,21,2023-2024,No,No,HYROX PRO
2023 London,22,2023-2024,No,No,HYROX PRO
2023 Stockholm,23,2023-2024,Yes,No,"HYROX ELITE, HYROX PRO"
2023 Frankfurt,24,2023-2024,No,No,HYROX PRO
2023 Los Angeles,25,2023-2024,No,No,HYROX PRO
2024 Maastricht,26,2023-2024,No,No,HYROX PRO
2024 Turin,27,2023-2024,No,No,HYROX PRO
2024 Vienna - European Championship,28,2023-2024,Yes,No,"HYROX ELITE, HYROX PRO"
2024 Dubai,29,2023-2024,No,No,HYROX PRO
2024 Bilbao,30,2023-2024,No,No,HYROX PRO
2024 Katowice,31,2023-2024,No,No,HYROX PRO
2024 Fort Lauderdale,32,2023-2024,No,No,HYROX PRO
2024 Washington - North American Championships,33,2023-2024,Yes,No,"HYROX ELITE, HYROX PRO"
2024 Glasgow,34,2023-2024,No,No,HYROX PRO
2024 Karlsruhe,35,2023-2024,No,No,HYROX PRO
2024 Houston,36,2023-2024,No,No,HYROX PRO
2024 Copenhagen,37,2023-2024,No,No,HYROX PRO
2024 Rotterdam,38,2023-2024,No,No,HYROX PRO
2024 Malaga,39,2023-2024,No,No,HYROX PRO
2024 Köln,40,2023-2024,No,Yes,HYROX PRO
2024 Mexico City,41,2023-2024,No,No,HYROX PRO
2024 Berlin,42,2023-2024,No,No,HYROX PRO
2024 Bordeaux,43,2023-2024,No,No,HYROX PRO
2024 Sports Direct HYROX London,44,2023-2024,No,No,HYROX PRO
2024 Doha,45,2023-2024,No,No,HYROX PRO
2024 Doha All Women's Race,46,2023-2024,No,No,HYROX PRO
2024 Gainful Anaheim,47,2023-2024,No,Yes,HYROX PRO
2024 Taipei,48,2023-2024,No,No,HYROX PRO
2024 Gdansk,49,2023-2024,No,No,HYROX PRO
2024 Rimini,50,2023-2024,No,No,HYROX PRO
2024 New York,51,2023-2024,No,No,HYROX PRO
2024 World Championships Nice,52,2023-2024,Yes,No,"HYROX ELITE, HYROX PRO"
2024 Incheon,53,2023-2024,No,No,HYROX PRO
2024 Madrid,54,2023-2024,No,No,HYROX PRO
2024 Manchester,55,2023-2024,No,No,HYROX PRO
2024 Singapore National Stadium,1,2024-2025,No,No,HYROX PRO
2024 Melbourne,2,2024-2025,No,No,HYROX PRO
2024 Sydney,3,2024-2025,No,No,HYROX PRO
2024 Brisbane,4,2024-2025,No,No,HYROX PRO
2024 Singapore,5,2024-2025,No,No,HYROX PRO
2024 Cape Town,6,2024-2025,No,No,HYROX PRO
2024 Perth,7,2024-2025,No,No,HYROX PRO
2024 Stuttgart,8,2024-2025,No,No,HYROX PRO
2024 Toronto,9,2024-2025,No,No,HYROX PRO - Overall
2024 Nice,10,2024-2025,No,No,HYROX PRO
2024 Amsterdam,11,2024-2025,Yes,No,"HYROX ELITE - Thursday, HYROX PRO - Overall"
2024 Milan,12,2024-2025,No,No,HYROX PRO
2024 Incheon,13,2024-2025,No,No,HYROX PRO
2024 Madrid,14,2024-2025,No,No,HYROX PRO
2024 Birmingham,15,2024-2025,No,No,HYROX PRO - Overall
2024 Hamburg,16,2024-2025,No,No,HYROX PRO
2024 Poznan,17,2024-2025,No,No,HYROX PRO
2024 Paris,18,2024-2025,No,No,HYROX PRO
2024 Ciudad de Mexico,19,2024-2025,No,No,HYROX PRO
2024 Manchester,20,2024-2025,No,No,HYROX PRO
2024 Dublin,21,2024-2025,No,No,HYROX PRO
2024 Chicago Navy Pier,22,2024-2025,No,No,HYROX PRO
2024 Beijing,23,2024-2025,No,No,HYROX PRO
2024 Dallas,24,2024-2025,No,No,HYROX PRO
2024 Hong Kong,25,2024-2025,Yes,No,"HYROX ELITE, HYROX PRO"
2023 Stockholm,38,2022-2023,No,No,HYROX PRO
2023 London,37,2022-2023,No,No,HYROX PRO
2023 Hong Kong,36,2022-2023,No,No,HYROX PRO
2023 Dallas,35,2022-2023,No,No,HYROX PRO
2023 Barcelona,34,2022-2023,No,No,HYROX PRO
2023 München,33,2022-2023,No,No,HYROX PRO
2023 World Championships Manchester,32,2022-2023,Yes,No,"HYROX ELITE, HYROX PRO"
2023 Rotterdam,31,2022-2023,No,No,HYROX PRO
2023 Hannover,30,2022-2023,No,No,HYROX PRO
2023 Anaheim,29,2022-2023,No,No,HYROX PRO
2023 Köln,28,2022-2023,No,No,HYROX PRO
2023 Malaga,27,2022-2023,No,No,HYROX PRO
2023 Miami,26,2022-2023,No,No,HYROX PRO
2023 Karlsruhe,25,2022-2023,No,No,HYROX PRO
2023 Wien,24,2022-2023,No,No,HYROX PRO
2023 Houston,23,2022-2023,No,No,HYROX PRO
2023 Glasgow,22,2022-2023,No,No,HYROX PRO
2023 Chicago - North American Open Championship,21,2022-2023,Yes,No,"HYROX ELITE, HYROX PRO"
2023 Bilbao,20,2022-2023,No,No,HYROX PRO
2023 Stuttgart,19,2022-2023,No,No,HYROX PRO
2023 Manchester,18,2022-2023,No,No,HYROX PRO
2023 Maastricht European Championships,17,2022-2023,Yes,No,"HYROX ELITE, HYROX PRO"
2022 Los Angeles,16,2022-2023,No,No,HYROX PRO
2022 Frankfurt,15,2022-2023,No,No,HYROX PRO
2022 Madrid,14,2022-2023,No,No,HYROX PRO
2022 Hamburg,13,2022-2023,No,No,HYROX PRO
2022 Hong Kong,12,2022-2023,No,No,HYROX PRO
2022 Dallas,11,2022-2023,No,No,HYROX PRO
2022 London,10,2022-2023,No,No,HYROX PRO
2022 Essen,9,2022-2023,No,No,HYROX PRO
2022 Berlin,8,2022-2023,No,No,HYROX PRO
2022 Chicago,7,2022-2023,No,No,HYROX PRO
2022 Amsterdam,6,2022-2023,No,No,HYROX PRO
2022 Valencia,5,2022-2023,No,No,HYROX PRO
2022 Birmingham,4,2022-2023,No,No,HYROX PRO
2022 Leipzig,3,2022-2023,No,No,HYROX PRO
2022 New York,2,2022-2023,No,No,HYROX PRO
2022 Basel,1,2022-2023,No,No,HYROX PRO
